Posición,Región,2006,2008,2010,2011,2012
1,América del Norte,8.64,8.64,8.63,8.59,8.59
2,Europa Occidental,8.60,8.61,8.45,,8.35
3,América Latina y las Antillas,6.37,6.43,6.37,6.35,6.36
4,Asia y Australasia,5.45,5.60,5.55,5.55,5.60
5,Europa Central y Europa Oriental,5.75,5.66,5.54,5.49,5.50
6,África subsahariana,4.23,4.27,4.22,4.31,4.30
7,Oriente Medio y Norte de África,3.55,3.50,3.55,3.70,3.75
,Total,5.52,5.55,5.46,5.49,5.52
